Raw,Left 50,No %,,Address,Percent,Amount, ,ID,Amount,Cumulative %,Pareto,all,$10 or more,$50 or more,$100 or more
"0x00A5af2D7DA07dF76073A6f478f0fB4942D2659a76,008.922 MobLP 27.0431%","0x00A5af2D7DA07dF76073A6f478f0fB4942D2659a76,008.9","0x00A5af2D7DA07dF76073A6f478f0fB4942D2659a76,008.922 MobLP 27.0431", ,0x00A5af2D7DA07dF76073A6f478f0fB4942D2659a,27.0431,"76,008.9", ,1,76008.9,27.0431,80,0.14%,0.32%,0.59%,0.82%
"0xE35E97438Fd16593e285546260C8585dea7909Dd27,287.451 MobLP 9.7085%","0xE35E97438Fd16593e285546260C8585dea7909Dd27,287.4","0xE35E97438Fd16593e285546260C8585dea7909Dd27,287.451 MobLP 9.7085", ,0xE35E97438Fd16593e285546260C8585dea7909Dd, 9.7085,"27,287.4", ,2,27287.4,36.75,80,0.29%,0.64%,1.18%,1.64%
"0x5472895f8de2424AAE41CfEBA18D39145Fa8E68524,964.571 MobLP 8.8821%","0x5472895f8de2424AAE41CfEBA18D39145Fa8E68524,964.5","0x5472895f8de2424AAE41CfEBA18D39145Fa8E68524,964.571 MobLP 8.8821", ,0x5472895f8de2424AAE41CfEBA18D39145Fa8E685, 8.8821,"24,964.5", ,3,24964.5,45.63,80,0.43%,0.96%,1.78%,2.46%
"0xEd721300110c02e7437594f52f8127DaE261ff9320,813.441 MobLP 7.4052%","0xEd721300110c02e7437594f52f8127DaE261ff9320,813.4","0xEd721300110c02e7437594f52f8127DaE261ff9320,813.441 MobLP 7.4052", ,0xEd721300110c02e7437594f52f8127DaE261ff93, 7.4052,"20,813.4", ,4,20813.4,53.04,80,0.57%,1.27%,2.37%,3.28%
"0x5314951649f0484884a067034FA57E492D908D4215,925.911 MobLP 5.6662%","0x5314951649f0484884a067034FA57E492D908D4215,925.9","0x5314951649f0484884a067034FA57E492D908D4215,925.911 MobLP 5.6662", ,0x5314951649f0484884a067034FA57E492D908D42, 5.6662,"15,925.9", ,5,15925.9,58.71,80,0.72%,1.59%,2.96%,4.10%
"0x9f82226AAe1f6900047DA20c30dc836587157E0312,085.509 MobLP 4.2999%","0x9f82226AAe1f6900047DA20c30dc836587157E0312,085.5","0x9f82226AAe1f6900047DA20c30dc836587157E0312,085.509 MobLP 4.2999", ,0x9f82226AAe1f6900047DA20c30dc836587157E03, 4.2999,"12,085.5", ,6,12085.5,63.01,80,0.86%,1.91%,3.55%,4.92%
"0x4ea77424Da100ac856ece3DDfAbd8B528570Ca0d10,916.141 MobLP 3.8838%","0x4ea77424Da100ac856ece3DDfAbd8B528570Ca0d10,916.1","0x4ea77424Da100ac856ece3DDfAbd8B528570Ca0d10,916.141 MobLP 3.8838", ,0x4ea77424Da100ac856ece3DDfAbd8B528570Ca0d, 3.8838,"10,916.1", ,7,10916.1,66.89,80,1.00%,2.23%,4.14%,5.74%
"0x84c33Ce1E7802694cDAF3730CCB13475DE196d5F9,991.376 MobLP 3.5548%","0x84c33Ce1E7802694cDAF3730CCB13475DE196d5F9,991.37","0x84c33Ce1E7802694cDAF3730CCB13475DE196d5F9,991.376 MobLP 3.5548", ,0x84c33Ce1E7802694cDAF3730CCB13475DE196d5F, 3.5548,"9,991.37", ,8,9991.37,70.44,80,1.15%,2.55%,4.73%,6.56%
"0x0D35324061F620f66AF983Dee02076B2E45E57fc8,199.261 MobLP 2.9172%","0x0D35324061F620f66AF983Dee02076B2E45E57fc8,199.26","0x0D35324061F620f66AF983Dee02076B2E45E57fc8,199.261 MobLP 2.9172", ,0x0D35324061F620f66AF983Dee02076B2E45E57fc, 2.9172,"8,199.26", ,9,8199.26,73.36,80,1.29%,2.87%,5.33%,7.38%
"0xB85ae9ef84542BBdead9D4cA9ee8d237b214d13a7,179.68 MobLP 2.5544%","0xB85ae9ef84542BBdead9D4cA9ee8d237b214d13a7,179.68","0xB85ae9ef84542BBdead9D4cA9ee8d237b214d13a7,179.68 MobLP 2.5544", ,0xB85ae9ef84542BBdead9D4cA9ee8d237b214d13a, 2.5544,"7,179.68", ,10,7179.68,75.92,80,1.43%,3.18%,5.92%,8.20%
